Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Conferences and seminars,Financial|Influencer,50935.43|58819.56,1441,70404.26,95545.39,35.71
Community and Charity events,In Kind|Food Stalls|In Kind,38395.78|7896.49|90545.34,2903,95592.66,167421.67,75.14
Community and Charity events,Food Stalls|Philanthropy|Financial|Merchandise,41320.61|27533.06|177558.72|36339.97,1990,238492.45,262752.23,10.17
Conferences and seminars,Media Sponsorship|Financial|Merchandise,45585.43|132023.98|34083.24,3919,156789.35,236272.16,50.69
Entertainment and media events,Philanthropy|Media Sponsorship|Influencer|Media Sponsorship|Media Sponsorship,99802.57|71008.94|26862.2|25501.83|10271.36,46723,172956.5,225008.51,30.1
Sports events,Philanthropy,30674.8,89955,21010.17,28013.88,33.33
Community and Charity events,Media Sponsorship|Philanthropy,81397.15|19697.95,1551,78274.64,92273.02,17.88
Conferences and seminars,Philanthropy|Merchandise|Media Sponsorship,89571.53|46179.21|53542.92,3672,131342.09,178750.23,36.1
Entertainment and media events,Philanthropy|Merchandise|Philanthropy|Media Sponsorship,55474.45|15535.3|64658.74|89738.08,13823,194922.07,268283.94,37.64
Community and Charity events,Financial|Merchandise,163846.49|11235.08,3519,144999.08,193831.51,33.68
Virtual event,Influencer|Philanthropy|In Kind|Financial,30558.56|16652.57|76703.28|130780.54,7742,216581.31,392285.45,81.13
Entertainment and media events,In Kind|Merchandise|Influencer,60557.55|30858.05|56448.41,39904,102574.89,198924.88,93.93
Sports events,In Kind|Food Stalls,78978.45|46424.72,7158,95854.32,105485.5,10.05
Community and Charity events,In Kind|Influencer,50316.21|88353.23,3842,86805.69,155063.91,78.63
Entertainment and media events,In Kind|In Kind|Financial|Influencer,8700.08|82131.49|178764.53|56289.44,27121,242543.8,466537.98,92.35
Community and Charity events,Financial|Merchandise|Merchandise|Merchandise,42059.44|29964.92|3004.04|20743.3,3407,84005.76,151628.68,80.5
Virtual event,In Kind|Merchandise|Merchandise|Financial,47779.55|32355.68|2022.92|76570.99,9002,108988.51,184849.3,69.6
Festivals and fairs,Merchandise|Influencer|Financial,44767.18|3022.95|21899.43,15268,61629.83,113371.87,83.96
Entertainment and media events,Philanthropy,19645.96,38355,11975.27,14207.42,18.64
Conferences and seminars,Influencer|Influencer|Merchandise|Food Stalls,61424.91|66905.7|5230.7|27085.21,3019,99329.72,194078.65,95.39
Virtual event,Media Sponsorship|Influencer|Philanthropy|Philanthropy|Influencer,23235.95|11561.69|9623.37|7035.16|65632.11,6628,82912.37,113856.46,37.32
Entertainment and media events,Influencer|Influencer,67022.45|99532.55,5070,143533.31,232892.56,62.26
Virtual event,Merchandise|Media Sponsorship|Influencer|Philanthropy,14700.39|48420.1|11689.78|18081.57,8295,81125.15,125528.64,54.73
Sports events,Philanthropy|Merchandise,47523.74|49213.12,63541,80723.31,111079.0,37.6
Virtual event,Financial|In Kind|Financial,173563.58|13946.62|10646.4,9598,143391.21,268478.64,87.24
Virtual event,Influencer|Financial|Merchandise|Media Sponsorship|Influencer,55103.65|107484.24|35421.93|24514.26|95547.26,9893,278757.41,495405.38,77.72
Sports events,Influencer|Influencer,15136.43|76085.73,44047,78575.64,132906.1,69.14
Community and Charity events,Media Sponsorship|Philanthropy,23861.9|65657.73,1535,60030.15,71572.99,19.23
Entertainment and media events,Merchandise|In Kind|Media Sponsorship|Food Stalls|Media Sponsorship,46492.31|39151.42|69586.65|12433.03|96686.51,28179,177489.73,334467.38,88.44
Entertainment and media events,In Kind|Merchandise|Food Stalls,84798.35|5457.23|37666.94,16243,86030.62,153771.79,78.74
Community and Charity events,In Kind|Financial|Merchandise,88591.23|6018.62|32018.76,1546,113060.34,154383.23,36.55
Conferences and seminars,Merchandise,27240.67,4229,17499.37,29848.59,70.57
Entertainment and media events,Food Stalls|In Kind|Financial|In Kind|Food Stalls,31244.42|21191.43|127529.16|39108.87|1760.06,1901,184874.26,322359.17,74.37
Entertainment and media events,Merchandise|Food Stalls|In Kind|Financial,28167.25|33601.23|4984.74|87728.49,17851,105944.79,126991.97,19.87
Virtual event,Influencer|Media Sponsorship|Influencer|Media Sponsorship|Merchandise,63850.48|92699.5|53709.24|70572.09|4482.06,4646,212076.43,384618.75,81.36
Sports events,In Kind,74521.1,24919,61736.69,69023.41,11.8
Conferences and seminars,Influencer|Merchandise|In Kind|Media Sponsorship|Food Stalls,3824.83|38543.36|69337.17|98681.77|1436.8,2099,144857.41,189853.66,31.06
Community and Charity events,Food Stalls|Financial|In Kind|Philanthropy,692.75|48237.83|77748.82|82593.66,4815,130892.71,177875.08,35.89
Conferences and seminars,Financial|Food Stalls|In Kind,84531.53|4159.98|50440.82,1231,95179.17,145083.91,52.43
Community and Charity events,Media Sponsorship|Philanthropy|Influencer,91589.77|16691.22|6885.32,227,70559.44,87881.02,24.55
Conferences and seminars,Food Stalls|Media Sponsorship,10725.5|28947.98,2537,24432.37,34426.33,40.9
Community and Charity events,Influencer|Financial|Food Stalls|Food Stalls|Media Sponsorship,99341.91|145648.33|32758.69|30767.83|72238.5,4843,253022.92,399158.51,57.76
Community and Charity events,In Kind,53063.89,985,33515.96,46341.96,38.27
Community and Charity events,In Kind|Merchandise|Financial,9418.63|26136.61|129821.65,985,108551.42,156681.97,44.34
Festivals and fairs,Financial|Food Stalls,191256.73|47210.43,35077,212296.4,266092.04,25.34
Conferences and seminars,Food Stalls|Financial,2579.28|155152.34,1520,118058.68,158079.57,33.9
Community and Charity events,Influencer|Philanthropy|Food Stalls|Media Sponsorship|Food Stalls,56369.49|50023.36|28644.57|38961.43|38535.65,3803,133153.77,256348.12,92.52
Sports events,Philanthropy|Influencer|In Kind,22471.09|12051.76|13394.13,37257,31813.93,35225.24,10.72
Community and Charity events,In Kind|Influencer,62794.87|23821.45,3853,76042.67,147034.14,93.36
Virtual event,Financial,86581.07,2986,65635.76,101384.39,54.47
Festivals and fairs,In Kind|Financial|Philanthropy,77212.87|154315.01|88776.13,6104,217232.16,270230.55,24.4
Community and Charity events,Media Sponsorship|In Kind|Merchandise,25716.94|32149.99|21081.57,2740,55976.25,106186.37,89.7
Conferences and seminars,Financial|Philanthropy|Food Stalls|Merchandise|Influencer,140987.28|81059.47|37942.99|26656.24|90501.95,2090,271719.53,522025.69,92.12
Conferences and seminars,Philanthropy,37278.05,2322,24900.61,43128.75,73.2
Entertainment and media events,In Kind|Financial|Merchandise,21278.63|172239.04|27339.22,31383,168209.36,190309.43,13.14
Virtual event,In Kind|Financial|Media Sponsorship,29436.29|48459.69|7579.63,1869,74592.79,95738.89,28.35
Sports events,Media Sponsorship|Philanthropy|Influencer,93374.25|61970.81|27891.81,2067,131511.51,217468.12,65.36
Sports events,Financial|Food Stalls|Food Stalls|In Kind,74011.9|46114.59|37729.05|98550.74,16771,211617.82,309803.49,46.4
Entertainment and media events,Influencer|Food Stalls|Financial|Philanthropy|Media Sponsorship,67422.78|30318.52|99453.17|77101.57|83080.9,4367,278582.88,373965.53,34.24
Virtual event,Media Sponsorship|Influencer,55507.97|57908.45,7301,78401.34,150636.99,92.14
Sports events,Philanthropy|Media Sponsorship|Merchandise|Philanthropy|Philanthropy,56098.47|23864.32|18828.42|86169.59|80717.43,52825,188883.02,364830.92,93.15
Entertainment and media events,Influencer|Merchandise|Influencer,3270.67|23740.12|11233.42,8205,25277.93,31483.98,24.55
Entertainment and media events,Financial|In Kind|Philanthropy|Media Sponsorship,168949.9|62720.21|87268.63|21535.15,14391,286324.97,529044.22,84.77
Virtual event,Merchandise|In Kind|Philanthropy|Media Sponsorship,34979.1|2643.51|38497.26|13191.81,7506,65497.24,85558.64,30.63
Virtual event,Influencer|Philanthropy,68646.54|76678.61,3046,88504.23,126779.6,43.25
Conferences and seminars,Media Sponsorship|Financial|Financial|In Kind|In Kind,91654.3|12618.34|188442.02|17281.64|48069.86,2598,274995.02,415676.23,51.16
Sports events,Media Sponsorship|Philanthropy|Philanthropy|Financial|Financial,44572.28|38106.34|17390.65|84997.28|87088.93,26717,166956.45,216731.07,29.81
Conferences and seminars,Food Stalls|Food Stalls|Food Stalls|Media Sponsorship|Financial,8261.69|38595.18|24578.81|5363.87|23801.05,3232,64757.91,125327.71,93.53
Community and Charity events,In Kind|Merchandise,30659.64|1553.76,4295,22553.78,34920.2,54.83
Festivals and fairs,Food Stalls|Philanthropy|Food Stalls,16229.97|62742.13|48651.13,16292,92199.91,148320.95,60.87
Festivals and fairs,Media Sponsorship|Philanthropy|Financial,54741.37|1164.72|9667.17,21117,58720.14,95875.33,63.28
Sports events,Influencer|In Kind,66319.38|16760.42,60352,62729.05,109891.3,75.18
Virtual event,Philanthropy|Merchandise|Philanthropy|Merchandise|Philanthropy,52336.42|47417.22|87249.35|33040.47|61629.03,9870,175583.26,260032.85,48.1
Community and Charity events,Philanthropy|Influencer|Financial|Media Sponsorship|Influencer,90090.59|70400.65|57353.05|35563.03|22056.78,4156,238189.92,328639.11,37.97
Virtual event,Merchandise|Media Sponsorship|Media Sponsorship,38338.61|81884.52|41700.65,7676,129463.68,146547.46,13.2
Conferences and seminars,Philanthropy,37711.68,2847,29265.85,47526.59,62.4
Community and Charity events,Financial|Merchandise,102251.82|35272.49,4874,103986.23,116204.44,11.75
Virtual event,Philanthropy|Financial,12293.2|137448.44,1910,112271.36,176368.08,57.09
Entertainment and media events,In Kind|Merchandise,95062.74|48128.97,32034,110089.26,179487.18,63.04
Community and Charity events,Philanthropy,71833.83,487,53996.22,83449.01,54.55
Entertainment and media events,In Kind,74581.12,19940,64246.65,124160.2,93.26
Sports events,Merchandise,47974.34,97672,35658.02,49797.38,39.65
Community and Charity events,Philanthropy|Food Stalls|Influencer|Influencer,21407.73|15831.45|36684.91|84298.24,2998,100394.71,138865.1,38.32
Virtual event,In Kind|Merchandise|In Kind|Merchandise,98572.6|43040.49|7650.04|643.26,7023,109037.81,215355.45,97.51
Virtual event,Media Sponsorship|Philanthropy|Media Sponsorship,12748.58|93424.12|71309.46,8666,117185.44,158546.96,35.3
Entertainment and media events,Media Sponsorship|Merchandise|Influencer|Media Sponsorship,73978.2|21796.01|85469.75|83313.78,23448,209435.86,418599.3,99.87
Entertainment and media events,In Kind|Media Sponsorship|Philanthropy|Influencer,99457.54|61964.92|91177.99|69345.24,7680,245763.58,323005.94,31.43
Sports events,In Kind|Merchandise|Merchandise|Media Sponsorship,37920.37|13546.0|32399.51|77048.5,47722,100146.58,181264.7,81.0
Community and Charity events,In Kind|Financial|Merchandise|Financial|Food Stalls,8901.39|99489.23|27041.36|152276.26|41301.9,2737,225525.62,286116.89,26.87
Entertainment and media events,Philanthropy|In Kind,79684.04|54351.88,41492,96517.86,191433.8,98.34
Festivals and fairs,Financial|In Kind|Food Stalls|Food Stalls,195358.78|39076.47|48254.76|17266.28,51018,187797.95,249293.21,32.75
Virtual event,Philanthropy|Merchandise|Merchandise|Media Sponsorship|Influencer,6166.56|24615.26|13281.45|34488.26|73395.1,6010,100598.39,149329.72,48.44
Conferences and seminars,In Kind|Financial,63228.46|62184.71,2959,94277.23,135784.33,44.03
Sports events,Food Stalls|In Kind,42705.56|97667.05,7142,101003.31,144076.64,42.65
Festivals and fairs,Influencer|Food Stalls|Food Stalls|Media Sponsorship,89861.66|34147.23|22736.16|96035.38,42138,178193.5,338593.92,90.01
Entertainment and media events,Media Sponsorship|Media Sponsorship|Media Sponsorship,83494.15|92712.98|4926.8,22631,111051.36,176800.77,59.21
Festivals and fairs,Food Stalls|Financial|Merchandise,46999.5|157950.98|46087.02,45928,213611.98,335219.12,56.93
Entertainment and media events,In Kind|Merchandise|Financial|Food Stalls|Influencer,41864.39|37897.77|156607.74|48215.5|24251.53,27905,219067.93,370319.94,69.04
Conferences and seminars,Financial,95813.28,4777,62013.86,74745.66,20.53
Festivals and fairs,Merchandise|Philanthropy|Philanthropy|Merchandise,23994.31|6071.91|66113.08|17863.21,50881,101645.57,135080.45,32.89
Conferences and seminars,Influencer,3616.34,222,2551.33,3954.97,55.02
Conferences and seminars,Financial|Philanthropy|Merchandise|Merchandise,124963.8|13878.22|45783.33|2675.45,1469,116344.71,197587.07,69.83
Entertainment and media events,Philanthropy|Food Stalls,60868.32|8065.86,36733,59851.46,90035.7,50.43
Community and Charity events,Influencer|Philanthropy|Merchandise,73628.37|22168.6|40225.49,3669,81923.02,102473.77,25.09
Conferences and seminars,Food Stalls|Financial|Media Sponsorship|Merchandise|In Kind,14075.49|52240.44|20518.75|37134.42|64541.45,1950,151665.23,221019.66,45.73
Sports events,Food Stalls,18328.5,51449,16270.5,32361.22,98.9
Conferences and seminars,In Kind|Influencer|Financial,3661.74|15868.85|106123.97,881,97666.18,180779.87,85.1
Festivals and fairs,Financial|Philanthropy|Financial|Financial,70436.3|96908.64|148312.32|37169.97,55434,265230.92,293186.54,10.54
Festivals and fairs,Influencer|Philanthropy,97596.32|90733.78,99314,138038.82,198885.29,44.08
Community and Charity events,In Kind|Financial,17015.68|80075.47,1178,76149.37,136584.03,79.36
Conferences and seminars,Philanthropy|Merchandise|Influencer|In Kind|Influencer,96131.52|17058.8|33700.38|79412.93|13686.33,2936,165375.53,259099.76,56.67
Community and Charity events,Influencer|Merchandise|Influencer|Merchandise,73738.93|4756.28|97415.63|27131.87,3710,152001.06,302164.25,98.79
Conferences and seminars,Media Sponsorship|Media Sponsorship,2866.88|86333.83,367,76671.43,123612.38,61.22
Festivals and fairs,Media Sponsorship|Merchandise|Food Stalls|Merchandise,63605.56|41601.04|19130.49|6359.3,45125,85539.62,127511.36,49.07
Conferences and seminars,Merchandise|Merchandise|Food Stalls,8821.97|39176.62|31280.37,2413,70032.66,124932.01,78.39
Community and Charity events,Media Sponsorship|Financial|Food Stalls,5208.15|63009.63|34905.32,3345,91973.72,171077.5,86.01
Entertainment and media events,Merchandise|Philanthropy,31841.86|13539.71,46110,28679.81,33961.56,18.42
Virtual event,Merchandise|In Kind|Influencer|Philanthropy|Merchandise,42582.99|3141.5|34826.96|92587.65|33629.57,8840,182156.17,241997.02,32.85
Entertainment and media events,Philanthropy,84534.58,10334,72163.46,138829.27,92.38
Virtual event,Merchandise|In Kind,19059.76|22976.83,8306,29602.74,37251.96,25.84
Conferences and seminars,Philanthropy,78643.98,1504,51766.82,64651.58,24.89
Festivals and fairs,Influencer|Financial,62352.34|127282.63,13187,125106.89,154903.05,23.82
Virtual event,Philanthropy|Philanthropy|Merchandise,67737.31|14463.76|35396.03,6878,104963.47,203911.32,94.27
Sports events,Influencer|Merchandise|Food Stalls|Influencer|Philanthropy,51480.71|26648.84|25697.99|72015.88|6011.04,6128,131117.77,251358.08,91.7
Conferences and seminars,Influencer|Merchandise|Philanthropy|Merchandise,88824.95|7735.78|40510.28|40120.7,736,118222.72,222970.64,88.6
Community and Charity events,Merchandise|In Kind|Financial,26419.93|87816.11|88487.01,4737,135611.71,263878.98,94.58
Conferences and seminars,In Kind|Media Sponsorship,42406.28|12666.71,4773,37144.26,59435.25,60.01
Entertainment and media events,Influencer|Influencer|Media Sponsorship|Influencer|Merchandise,40246.19|5773.5|69400.32|18115.98|7988.73,40055,118497.52,138258.14,16.68
Sports events,Merchandise|Food Stalls,35369.33|23887.33,82706,46619.52,85372.53,83.13
Conferences and seminars,Food Stalls|Influencer|Financial,6538.92|28968.38|166513.49,4188,162513.12,181863.98,11.91
Festivals and fairs,Financial|Financial|Food Stalls|Merchandise,102734.01|188507.33|28921.84|14514.47,99608,238103.13,370634.24,55.66
Community and Charity events,Food Stalls|Food Stalls|Philanthropy,4065.52|43215.63|71646.25,3447,71876.87,123805.53,72.25
Community and Charity events,Financial,22464.59,1741,17984.97,22189.62,23.38
Entertainment and media events,Food Stalls|Merchandise|Influencer,1992.96|39299.03|3909.91,28737,36879.93,47979.61,30.1
Entertainment and media events,Merchandise,3190.06,41220,2044.05,2746.27,34.35
Entertainment and media events,Philanthropy,22777.94,30938,20334.88,36011.67,77.09
Sports events,Media Sponsorship|In Kind|Influencer|Influencer|Philanthropy,67024.15|72133.16|80147.96|32793.34|45904.58,95108,217034.9,277564.01,27.89
Community and Charity events,Media Sponsorship,77165.77,1875,57265.39,84836.03,48.15
Virtual event,Media Sponsorship|Philanthropy|In Kind,89216.67|14778.19|67359.43,1105,112171.77,220394.93,96.48
Festivals and fairs,Food Stalls|Influencer,11734.0|68671.1,28430,48464.34,58893.72,21.52
Community and Charity events,Merchandise|Media Sponsorship|Merchandise|Philanthropy|Financial,3576.33|66326.39|15448.8|20642.22|173603.87,3216,208240.38,316939.3,52.2
Virtual event,Merchandise|Financial,47160.86|120872.84,4478,114133.95,151596.74,32.82
Entertainment and media events,Media Sponsorship|Media Sponsorship|Influencer|Influencer|Media Sponsorship,88989.54|31899.05|72198.75|94934.2|57012.18,36711,218459.61,245664.55,12.45
Entertainment and media events,In Kind|Food Stalls|Philanthropy,14262.57|20714.4|9632.98,43310,39068.74,52982.24,35.61
Virtual event,Merchandise|In Kind|Influencer|Merchandise|Merchandise,46440.19|98697.53|43087.02|39146.0|7846.7,1403,190091.21,228747.5,20.34
